timestamp,slave_id,status,message
2025-12-04 09:49:15.107,0,INFO,Modbus connected
2025-12-04 09:49:15.177,3,OK,Read 64 regs in 0.040s
2025-12-04 09:49:15.234,4,OK,Read 64 regs in 0.037s
2025-12-04 09:49:15.283,1,OK,Read 64 regs in 0.031s
2025-12-04 09:49:15.329,2,OK,Read 64 regs in 0.030s
2025-12-04 09:49:15.381,3,OK,Read 64 regs in 0.035s
2025-12-04 09:49:15.430,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:15.474,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:15.517,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:15.563,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:15.607,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:15.652,3,OK,Read 64 regs in 0.029s
2025-12-04 09:49:15.695,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:15.739,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:15.783,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:15.827,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:15.872,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:15.916,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:15.961,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.005,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.048,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.091,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.135,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.179,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.223,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.270,3,OK,Read 64 regs in 0.030s
2025-12-04 09:49:16.319,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.363,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.407,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.451,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.495,4,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.539,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.583,4,OK,Read 64 regs in 0.029s
2025-12-04 09:49:16.630,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.674,4,OK,Read 64 regs in 0.027s
2025-12-04 09:49:16.718,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.763,4,OK,Read 64 regs in 0.029s
2025-12-04 09:49:16.807,3,OK,Read 64 regs in 0.028s
2025-12-04 09:49:16.851,4,OK,Read 64 regs in 0.028s
